Word,Frequency,PMI,R_Entropy,L_Entropy
缓,165,80,4.524050433338612,5.59738307992238
谓,164,80,5.218320379671295,3.8930222133157106
醋,164,80,4.554284813051265,4.395765708474266
岁,164,80,4.183344304056255,3.9845905551363785
绞,164,80,2.5954561053526075,4.526544261175198
道,163,80,5.1978653372847825,4.838221125476473
熬,161,80,4.0968974874677215,5.43913142895045
剂,160,80,4.859449488113855,2.781687960326608
葛,160,80,2.274514753599414,3.5089639533197654
杂,159,80,2.537020273625376,3.569196818206597
始,158,80,4.699903276205356,4.764741696888181
男,157,80,2.7690153301487115,3.8999927426224446
蒸,156,80,4.96147830006279,5.263287392791483
语,156,80,4.8768785377338055,4.255939082797542
定,155,80,5.154832957131946,4.686699035004765
羸,155,80,3.52293985253073,4.120333701772492
癫,155,80,3.3681396258750658,4.2693739613203014
觉,154,80,5.990554328463405,4.857820099602554
肩,154,80,4.305128851257152,4.9195777689666
衣,153,80,5.767145158986009,5.778942459748408
许,153,80,5.279606942559037,4.056101442705483
鸣,152,80,5.466166834742465,3.72272046720318
唾,152,80,4.536794782367268,5.001074952253997
伏,152,80,4.436516980416674,5.512498006749339
胎,152,80,4.4033067142175435,4.361138609057526
续,152,80,2.2643781491106374,4.624581770147833
研,151,80,5.035294209361696,5.071072021108801
流,151,80,4.246734360714726,5.443267006622352
盐,150,80,5.008971843405273,4.96978002274737
偏,150,80,4.454310896302413,6.048367072769295
声,148,80,5.211057013742653,5.295290764768481
视,147,80,4.952384523218353,5.053828585757488
新,146,80,5.33672656899072,5.00591549551553
俱,146,80,4.742462925236057,5.122116685179413
毛,145,80,5.274964716398803,5.088689837086533
直,145,80,4.967583304239162,5.604303639502561
今,145,80,4.786798192251519,2.2488952368382047
房,145,80,3.4539706278490887,4.894163708020633
走,143,80,5.617348210660027,5.005754252974767
瓜,143,80,3.103057860692846,3.013091562176927
尿,141,80,5.494561899941539,4.800477760580304
松,141,80,2.572813013101751,4.152796172832761
具,140,80,4.7831252295215085,2.7155943634562143
暴,139,80,5.658555981419555,5.353542313487731
眼,139,80,5.44585631949977,5.731266761223104
眩,139,80,5.146427327650574,2.790258058615292
覆,139,80,4.377260278895816,4.962217631541297
浆,138,80,3.232793195627502,4.282200689150714
痒,137,80,4.569477062435825,5.091236738386583
春,137,80,4.549963278224905,4.4140937957754645
桑,137,80,3.325354701256921,4.008985186258553
器,137,80,2.504604927880201,3.6451536929291573
注,136,80,4.9596608780281946,5.583071738632577
浸,136,80,4.616204638310282,4.487821047773468
肌,136,80,3.070788168342148,4.741984159167829
客,136,80,2.9785345848021993,4.712309941388667
弦,135,80,4.634792972058546,4.55009937959368
形,133,80,5.302621124615868,5.744722159792383
布,132,80,5.190315754203165,4.512220189122335
唇,132,80,4.941447215791319,5.26130775588942
禁,132,80,4.0830021924423665,3.834401974447744
因,131,80,6.10705182435909,4.878188317568147
畏,129,80,6.12739694727527,4.835088377893471
尸,128,80,3.9849752955801208,3.7234031373513843
封,128,80,3.6627180767022587,4.187698933312396
痔,128,80,3.371026165237251,3.624632684860955
种,127,80,5.435728750643398,4.270164171413797
减,127,80,3.4900220794246866,5.023214434511122
非,126,80,5.728373651977808,5.527460994775535
狂,126,80,4.255473940491466,4.863103057947671
交,125,80,4.879898814119791,4.905847751505641
肤,125,80,4.4931285953923314,2.4285206602397706
含,125,80,3.6320504483153027,5.2055993487991
炙,123,80,4.620352675225335,4.127334689747634
膈,123,80,3.904161856439646,4.584763303221165
命,123,80,3.8761975271422493,3.880485988544224
秋,122,80,4.949597714467363,4.114263002878717
遂,121,80,5.30616452132887,2.4330813081851206
将,121,80,5.227783480267086,5.885516295989093
理,121,80,5.072976782722999,4.734920559361039
深,121,80,5.0198321557781655,5.407949466398645
梦,121,80,5.005680449736276,3.0022177567453294
际,121,80,4.61670939056423,2.7663682190402548
疰,121,80,4.371462900604791,3.8915715545511804
燥,120,80,5.172791279429208,4.636104897047867
杀,120,80,3.7556422718370457,5.442196998031018
漆,119,80,4.53395629860289,2.5430718140179853
廉,119,80,4.049779071000208,2.8561581013839414
旁,119,80,3.0373045857549053,2.9433695799809043
葱,119,80,2.7366333217398036,4.488933821948121
虽,118,80,5.386303421615473,5.106603137064476
开,118,80,5.245590233146164,5.117525034513234
紧,117,80,4.451990156349068,4.145533239961067
椎,117,80,2.7542537383743335,3.4276259249577294
按,117,80,2.4820495847330712,4.392793576150687
破,116,80,5.660996288265055,5.8480845456454595
举,116,80,3.9767361076658148,4.088581037050693
增,116,80,3.9582283064124395,4.539777940551104
支,116,80,2.9969590618089446,3.789447429704753
疗,115,80,5.057045496917351,5.045233767871755
效,115,80,3.4026862710360795,4.207889455256622
葵,115,80,2.3826860106506524,3.700620502927561
横,114,80,4.313490300671957,5.174485825198713
窍,114,80,2.366764825572265,2.3343743365424183
致,113,80,5.112917456599691,3.4438288734312166
液,112,80,3.7389181187685647,2.4870639712801674
带,112,80,3.1025736774314603,4.093358935631755
野,112,80,2.046008588708443,4.645460001609542
摩,111,80,4.729004911673777,5.1139167452674
床,111,80,2.045759749154302,2.250943226351175
近,109,80,4.662592409448859,4.378174118903707
核,109,80,4.047619761254955,3.596263093820262
海,109,80,2.636916887103888,3.4189490011397505
痰,109,80,2.283775231252612,4.229821567488567
烂,108,80,5.114172648584533,5.459659785525616
暖,108,80,4.8971317994037085,4.736825285045862
车,108,80,2.773143254652689,3.7558543056005305
净,107,80,5.046826461910239,4.8703341687931285
瘦,107,80,4.894294783753764,2.716499440560521
留,107,80,4.2868134313114155,4.730685964835773
蛊,107,80,3.0208975969991982,4.9593971516939215
溪,106,80,2.6225990904942464,2.8737398851708327
项,105,80,4.649447427442603,4.486750555026531
趾,105,80,4.407778277240432,2.628978175394064
向,104,80,5.362724850390183,5.399970829805275
油,104,80,4.753949459174217,4.66097411521878
挟,104,80,4.671624513212791,4.9109299480376425
受,103,80,5.174930973921758,5.246694645701406
忽,103,80,5.01601450575961,4.20805077638529
络,103,80,4.877820781201564,4.485309182127169
端,103,80,4.466674116805372,4.161628637160832
髓,102,80,5.142730861717141,4.117948481663549
边,102,80,5.092342603144795,3.4130762856342773
吸,102,80,4.557082103673479,3.0919456549290603
井,102,80,3.0418709258729715,3.800418860615335
鹿,102,80,2.3815333926199873,4.214192447093236
射,102,80,2.190783971798636,4.2816870830264415
思,101,80,5.082661189035395,5.0069426909111705
进,101,80,4.424813321798787,5.235239926116472
胞,101,80,4.142785286915661,4.680415867146085
落,100,80,4.852719969293429,4.879427404457882
疝,100,80,4.214288197791275,4.802782616124175
万,100,80,2.9383566770798564,4.488057273406483
呼,99,80,3.4160398712562436,4.825838005169727
轻,99,80,3.3558706696980223,4.913549318307962
怒,98,80,4.535591220602619,4.320848137101338
脑,96,80,4.835965671329255,4.81934496778276
恐,96,80,4.451757805856397,4.692371279751684
鼠,96,80,4.202681524811636,4.690668948650789
代,96,80,3.8321928081267815,5.46875
真,96,80,2.8156439876501924,4.440404017720927
坐,95,80,5.244129386184385,5.03825675486564
老,95,80,3.6834767937046498,4.50258340716107
茎,94,80,4.276295952235478,4.819397398459691
艾,94,80,4.102134902162673,4.535701501208652
屈,94,80,3.3085270795907444,4.01294032373613
铜,94,80,2.1785423032777462,3.943983601196907
商,94,80,2.0912478481436825,3.4987105578532036
会,93,80,4.553269689515109,3.9263672391807716
侧,93,80,4.539170085649681,3.3793864850365356
沫,93,80,3.8529284750433654,3.5630615882723733
搅,93,80,3.422131674688597,4.724952159127972
臂,92,80,4.925174856777298,4.6422214346285955
事,92,80,4.822649605284647,4.737934445437175
泥,92,80,4.492149828729504,4.167563003153743
脱,92,80,4.270247211353192,5.255105667596256
问,92,80,4.004610207788481,3.7169426200217965
化,92,80,3.7527243339694953,3.7822656886049786
承,92,80,3.679794188271928,3.9643955295262856
剧,92,80,3.3292567378242217,3.780503079551605
钱,92,80,2.761085781231867,3.371903342537812
枝,91,80,4.274794987782996,2.7646924306036964
挛,91,80,3.9217763889727566,4.183551804433324
南,90,80,4.932795450559983,2.7505626214223584
刀,90,80,3.9948571922844245,4.0351145061697125
盆,90,80,3.579129765961376,3.2376388974370705
乍,89,80,4.014448693714056,4.108793931365396
家,88,80,5.3371753411230785,5.115634426587136
